01. CreateOccupationLabelNodes_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 
02. CreateOccupationPrefLabelNodes_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 
03. CreateSkillLabelNodes_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 
04. CleanUpEscoData_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 
05. CreateFullTextSearchIndexes_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 
259. CreateSkillLabelContentItems68000_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
260. CreateSkillLabelContentItems68400_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
261. CreateSkillLabelContentItems68800_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
262. CreateSkillLabelContentItems69200_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
263. CreateSkillLabelContentItems69600_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
264. CreateSkillLabelContentItems70000_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
265. CreateSkillLabelContentItems70400_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
266. CreateSkillLabelContentItems70800_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
267. CreateSkillLabelContentItems71200_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
268. CreateSkillLabelContentItems71600_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
269. CreateSkillLabelContentItems72000_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
270. CreateSkillLabelContentItems72400_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
271. CreateSkillLabelContentItems72800_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
272. CreateSkillLabelContentItems73200_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
273. CreateSkillLabelContentItems73600_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
274. CreateSkillLabelContentItems74000_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
275. CreateSkillLabelContentItems74400_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
276. CreateSkillLabelContentItems74800_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
277. CreateSkillLabelContentItems75200_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
278. CreateSkillLabelContentItems75600_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
279. CreateSkillLabelContentItems76000_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
280. CreateSkillLabelContentItems76400_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
281. CreateSkillLabelContentItems76800_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
282. CreateSkillLabelContentItems77200_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
283. CreateSkillLabelContentItems77600_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
284. CreateSkillLabelContentItems78000_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
285. CreateSkillLabelContentItems78400_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
286. CreateSkillLabelContentItems78800_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
287. CreateSkillLabelContentItems79200_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
288. CreateSkillLabelContentItems79600_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
289. CreateSkillLabelContentItems80000_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
290. CreateSkillLabelContentItems80400_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
291. CreateSkillLabelContentItems80800_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
292. CreateSkillLabelContentItems81200_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
293. CreateSkillLabelContentItems81600_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
294. CreateSkillLabelContentItems82000_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
295. CreateSkillLabelContentItems82400_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
296. CreateSkillLabelContentItems82800_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
297. CreateSkillLabelContentItems83200_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
298. CreateSkillLabelContentItems83600_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
299. CreateSkillLabelContentItems84000_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
300. CreateSkillLabelContentItems84400_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
301. CreateSkillLabelContentItems84800_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
302. CreateSkillLabelContentItems85200_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
303. CreateSkillLabelContentItems85600_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
304. CreateSkillLabelContentItems86000_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
305. CreateSkillLabelContentItems86400_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
306. CreateSkillLabelContentItems86800_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
307. CreateSkillLabelContentItems87200_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
308. CreateSkillLabelContentItems87600_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
309. CreateSkillLabelContentItems88000_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
310. CreateSkillLabelContentItems88400_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
311. CreateSkillLabelContentItems88800_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
312. CreateSkillLabelContentItems89200_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
313. CreateSkillLabelContentItems89600_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
314. CreateSkillLabelContentItems90000_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
315. CreateSkillLabelContentItems90400_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
316. CreateSkillLabelContentItems90800_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
317. CreateSkillLabelContentItems91200_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
318. CreateSkillLabelContentItems91600_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
319. CreateSkillLabelContentItems92000_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
320. CreateSkillLabelContentItems92400_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
321. CreateSkillLabelContentItems92800_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
322. CreateSkillLabelContentItems93200_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
323. CreateSkillLabelContentItems93600_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
324. CreateSkillLabelContentItems94000_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
325. CreateSkillLabelContentItems94400_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
326. CreateSkillLabelContentItems94800_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
327. CreateSkillLabelContentItems95200_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
328. CreateSkillLabelContentItems95600_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
329. CreateSkillLabelContentItems96000_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
330. CreateSkillLabelContentItems96400_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
331. CreateSkillLabelContentItems96800_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
332. CreateSkillLabelContentItems97200_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
333. CreateSkillLabelContentItems97600_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
334. CreateSkillContentItems0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
335. CreateSkillContentItems400_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
336. CreateSkillContentItems800_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
337. CreateSkillContentItems1200_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
338. CreateSkillContentItems1600_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
339. CreateSkillContentItems2000_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
340. CreateSkillContentItems2400_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
341. CreateSkillContentItems2800_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
342. CreateSkillContentItems3200_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
343. CreateSkillContentItems3600_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
344. CreateSkillContentItems4000_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
345. CreateSkillContentItems4400_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
346. CreateSkillContentItems4800_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
347. CreateSkillContentItems5200_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
348. CreateSkillContentItems5600_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
349. CreateSkillContentItems6000_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
350. CreateSkillContentItems6400_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
351. CreateSkillContentItems6800_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
352. CreateSkillContentItems7200_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
353. CreateSkillContentItems7600_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
354. CreateSkillContentItems8000_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
355. CreateSkillContentItems8400_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
356. CreateSkillContentItems8800_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
357. CreateSkillContentItems9200_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
358. CreateSkillContentItems9600_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
359. CreateSkillContentItems10000_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
360. CreateSkillContentItems10400_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
361. CreateSkillContentItems10800_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
362. CreateSkillContentItems11200_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
363. CreateSkillContentItems11600_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
364. CreateSkillContentItems12000_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
365. CreateSkillContentItems12400_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
366. CreateSkillContentItems12800_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
367. CreateSkillContentItems13200_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
368. CreateOccupationContentItems0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
369. SharedContent_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 
370. ContentHelp_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 
371. EmailTemplates_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 
372. Taxonomies_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 
373. TestPages_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 
374. QCFLevels0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 10
375. ApprenticeshipStandardRoutes0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 18
376. ApprenticeshipStandards0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
377. ApprenticeshipStandards1_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 181
378. RequirementsPrefixes0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 6
379. ApprenticeshipLinks0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 3
380. ApprenticeshipRequirements0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 9
381. CollegeLinks0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 5
382. CollegeRequirements0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 5
383. UniversityLinks0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 6
384. UniversityRequirements0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 8
385. DayToDayTasks0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 111
386. OtherRequirements0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 13
387. Registrations0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 3
388. Restrictions0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 15
389. SocCodes0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 370
390. ONetOccupationalCodes0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 400
391. ONetOccupationalCodes1_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 110
392. WorkingEnvironments0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 14
393. WorkingLocations0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 17
394. WorkingUniforms0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 2
395. ApprenticeshipRoutes0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 19
396. CollegeRoutes0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 14
397. UniversityRoutes0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 8
398. DirectRoutes0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 14
399. OtherRoutes0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 6
400. VolunteeringRoutes0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 10
401. WorkRoutes0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 11
402. JobProfiles0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 21
403. JobCategories0_010c20d3-8474-4e39-88c1-dc464e8529a7.recipe.json: 26
# Totals
    OccupationLabels: 33036
SkillLabels: 97816
Skills: 13485
Occupations: 21
QCFLevels: 10
ApprenticeshipStandardRoutes: 18
ApprenticeshipStandards: 581
RequirementsPrefixes: 6
ApprenticeshipLinks: 3
ApprenticeshipRequirements: 9
CollegeLinks: 5
CollegeRequirements: 5
UniversityLinks: 6
UniversityRequirements: 8
DayToDayTasks: 111
OtherRequirements: 13
Registrations: 3
Restrictions: 15
SocCodes: 370
ONetOccupationalCodes: 510
WorkingEnvironments: 14
WorkingLocations: 17
WorkingUniforms: 2
ApprenticeshipRoutes: 19
CollegeRoutes: 14
UniversityRoutes: 8
DirectRoutes: 14
OtherRoutes: 6
VolunteeringRoutes: 10
WorkRoutes: 11
JobProfiles: 21
JobCategories: 26
